"filename", "language", "CMake", "C++", "JavaScript", "YAML", "Dart", "Swift", "comment", "blank", "total"
"d:\Flutter_projects\technozia\lib\main.dart", "Dart", 0, 0, 0, 0, 7, 0, 0, 0, 7
"d:\Flutter_projects\technozia\lib\models\team_member.dart", "Dart", 0, 0, 0, 0, 4, 0, 1, 0, 5
"d:\Flutter_projects\technozia\lib\providers\team_members_provider.dart", "Dart", 0, 0, 0, 0, 17, 0, 0, 4, 21
"d:\Flutter_projects\technozia\lib\routes.dart", "Dart", 0, 0, 0, 0, 12, 0, 0, 0, 12
"d:\Flutter_projects\technozia\lib\screens\member-screens\home_screen.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 4, 37
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events_screen.dart", "Dart", 0, 0, 0, 0, -7, 0, -8, 7, -8
"d:\Flutter_projects\technozia\lib\screens\participant-screens\home_screen.dart", "Dart", 0, 0, 0, 0, 7, 0, 28, 3, 38
"d:\Flutter_projects\technozia\lib\screens\participant-screens\items\team_member_item.dart", "Dart", 0, 0, 0, 0, 156, 0, 2, 6, 164
"d:\Flutter_projects\technozia\lib\screens\participant-screens\original_home.dart", "Dart", 0, 0, 0, 0, 429, 0, 17, 16, 462
"d:\Flutter_projects\technozia\lib\screens\participant-screens\registration\view_registration.dart", "Dart", 0, 0, 0, 0, 161, 0, 3, 0, 164
"d:\Flutter_projects\technozia\lib\screens\participant-screens\team-profile\team_profile_screen.dart", "Dart", 0, 0, 0, 0, 65, 0, 1, 1, 67
"d:\Flutter_projects\technozia\lib\services\participant_services.dart", "Dart", 0, 0, 0, 0, 38, 0, 2, 3, 43
"d:\Flutter_projects\technozia\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\Flutter_projects\technozia\linux\flutter\generated_plugins.cmake", "CMake", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Flutter_projects\technozia\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 2, 0, 0, 2
"d:\Flutter_projects\technozia\pubspec.yaml", "YAML", 0, 0, 0, 2, 0, 0, 0, 0, 2
"d:\Flutter_projects\technozia\server\routes\team_member.js", "JavaScript", 0, 0, 22, 0, 0, 0, 21, 6, 49
"d:\Flutter_projects\technozia\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\Flutter_projects\technozia\windows\flutter\generated_plugins.cmake", "CMake", 1, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 2, 7, 22, 2, 922, 2, 67, 50, 1074